Match_ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,rain_game
1303,2011-12-09,Hertha,Schalke 04,1,2,A,0
1304,2011-11-26,Dortmund,Schalke 04,2,0,H,0
1305,2011-10-23,Leverkusen,Schalke 04,0,1,A,0
1306,2012-03-18,Kaiserslautern,Schalke 04,1,4,A,0
1307,2012-04-22,Augsburg,Schalke 04,1,1,D,0
1308,2012-02-11,M'gladbach,Schalke 04,3,0,H,0
1309,2011-10-02,Hamburg,Schalke 04,1,2,A,0
1310,2012-02-26,Bayern Munich,Schalke 04,2,0,H,0
1311,2011-08-06,Stuttgart,Schalke 04,3,0,H,0
1312,2011-08-21,Mainz,Schalke 04,2,4,A,0
1313,2011-12-17,Wolfsburg,Stuttgart,1,0,H,0
1314,2011-11-04,Mainz,Stuttgart,3,1,H,0
1315,2012-01-21,Schalke 04,Stuttgart,3,1,H,0
1316,2011-08-26,Hertha,Stuttgart,1,0,H,0
1317,2012-03-30,Dortmund,Stuttgart,4,4,D,0
1318,2012-02-04,Leverkusen,Stuttgart,2,2,D,0
1319,2011-09-30,Kaiserslautern,Stuttgart,0,2,A,0
1320,2011-10-22,Nurnberg,Stuttgart,2,2,D,0
1321,2012-03-16,Hoffenheim,Stuttgart,1,2,A,0
1322,2012-04-10,Augsburg,Stuttgart,1,3,A,0
1323,2012-03-03,Hamburg,Stuttgart,0,4,A,0
1324,2012-04-28,Bayern Munich,Stuttgart,2,0,H,0
1325,2011-08-13,M'gladbach,Stuttgart,1,1,D,0
1326,2012-02-19,Hannover,Stuttgart,4,2,H,0
1327,2011-09-16,Freiburg,Stuttgart,1,2,A,0
1328,2012-04-21,FC Koln,Stuttgart,1,1,D,0
1329,2011-11-27,Werder Bremen,Stuttgart,2,0,H,0
1330,2011-11-19,M'gladbach,Werder Bremen,5,0,H,0
1331,2011-10-02,Hannover,Werder Bremen,3,2,H,0
1332,2012-04-07,FC Koln,Werder Bremen,1,1,D,0
1333,2012-03-17,Dortmund,Werder Bremen,1,0,H,0
1334,2012-04-13,Stuttgart,Werder Bremen,4,1,H,0
1335,2011-12-03,Bayern Munich,Werder Bremen,4,1,H,1
1336,2012-03-03,Hertha,Werder Bremen,1,0,H,0
1337,2012-01-21,Kaiserslautern,Werder Bremen,0,0,D,0
1338,2012-04-28,Wolfsburg,Werder Bremen,3,1,H,0
1339,2012-02-05,Freiburg,Werder Bremen,2,2,D,0
1340,2011-09-17,Nurnberg,Werder Bremen,1,1,D,0
1341,2012-02-18,Hamburg,Werder Bremen,1,3,A,0
1342,2011-10-21,Augsburg,Werder Bremen,1,1,D,0
1343,2011-08-14,Leverkusen,Werder Bremen,1,0,H,1
1344,2011-10-29,Mainz,Werder Bremen,1,3,A,0
1345,2011-08-27,Hoffenheim,Werder Bremen,1,2,A,1
1346,2011-12-17,Schalke 04,Werder Bremen,5,0,H,0
1347,2011-11-27,Braunschweig,Bochum,4,0,H,0
1348,2012-04-11,Aachen,Bochum,2,0,H,0
1349,2011-09-12,Dresden,Bochum,2,1,H,0
1350,2012-03-30,Ein Frankfurt,Bochum,3,0,H,0
1351,2011-12-17,Frankfurt FSV,Bochum,0,2,A,0
1352,2011-10-21,Karlsruhe,Bochum,0,0,D,0
1353,2012-02-12,St Pauli,Bochum,2,1,H,0
1354,2011-08-20,Union Berlin,Bochum,2,1,H,0
1355,2012-03-09,Paderborn,Bochum,0,0,D,0
1356,2012-05-06,Erzgebirge Aue,Bochum,2,1,H,0
1357,2011-11-05,Munich 1860,Bochum,1,3,A,0
1358,2012-03-18,Duisburg,Bochum,2,1,H,0
1359,2012-04-20,Cottbus,Bochum,1,1,D,0
